GYEAR,PCODE,GAMENUM,PA,AB,BA,HIT,HR,TOTB,SLG,SF,BB,KK,IB,HP,GD,NAME,AGE_VA,OBP,OPS,BARREL,BARREL%
2018,60100,70,169,152,0.243,37,3,63,0.414,1,12,36,0,4,5,백창수,30,0.313609467,0.727609467,6.0,0.03947
2018,60343,83,174,162,0.216,35,8,63,0.389,0,8,49,0,3,3,이해창,31,0.265895954,0.654895954,2.0,0.01235
2018,60523,91,194,174,0.305,53,7,86,0.494,3,16,39,1,1,4,정훈,30,0.360824742,0.854824742,8.0,0.04598
2018,60558,128,374,342,0.254,87,12,144,0.421,1,24,92,0,4,7,오태곤,26,0.309973046,0.730973046,8.0,0.02339
2018,60566,114,204,187,0.251,47,0,49,0.262,0,8,15,0,2,8,이상호,29,0.289340102,0.551340102,,
2018,60605,56,87,76,0.263,20,1,29,0.382,0,8,12,0,0,2,홍재호,31,0.333333333,0.715333333,1.0,0.01316
2018,61102,132,465,425,0.296,126,19,216,0.508,1,28,80,1,9,21,유강남,25,0.352051836,0.860051836,19.0,0.04471
2018,61114,25,41,36,0.222,8,0,11,0.306,0,3,9,0,2,1,김재율,29,0.317073171,0.623073171,2.0,0.05556
2018,61186,112,405,359,0.34,122,2,156,0.435,2,39,48,2,3,11,이천웅,29,0.406947891,0.841947891,4.0,0.01114
2018,61197,61,140,126,0.294,37,4,56,0.444,2,10,30,0,0,6,최영진,30,0.34057971,0.78457971,2.0,0.01587
2018,61204,55,96,83,0.193,16,2,23,0.277,2,9,18,0,0,1,김동한,30,0.265957447,0.542957447,,
2018,61208,111,299,269,0.301,81,2,101,0.375,1,19,44,0,1,8,정진호,29,0.348275862,0.723275862,1.0,0.00372
2018,61353,102,351,330,0.279,92,6,132,0.4,4,15,96,1,1,2,고종욱,29,0.308571429,0.708571429,6.0,0.01818
2018,61404,141,586,513,0.3,154,11,217,0.423,4,54,70,1,10,13,김헌곤,29,0.375215146,0.798215146,3.0,0.00585
2018,61554,59,108,97,0.216,21,3,34,0.351,1,5,30,0,3,6,김민하,29,0.273584906,0.624584906,2.0,0.02062
2018,61591,56,79,74,0.23,17,0,20,0.27,0,1,22,0,1,0,김사훈,31,0.25,0.52,,
2018,61652,22,43,40,0.25,10,1,15,0.375,0,2,7,0,1,4,윤정우,30,0.302325581,0.677325581,,
2018,61700,77,289,245,0.278,68,5,96,0.392,1,38,59,0,4,7,강경학,25,0.381944444,0.773944444,5.0,0.02041
2018,61743,30,50,44,0.136,6,0,6,0.136,1,3,11,0,1,1,오준혁,26,0.204081633,0.340081633,0.0,0.0
2018,61869,96,212,201,0.244,49,3,68,0.338,0,6,45,0,2,2,정진기,25,0.272727273,0.610727273,5.0,0.02488
2018,62016,14,37,33,0.182,6,0,7,0.212,0,2,10,0,1,0,윤병호,29,0.25,0.462,,
2018,62025,77,150,138,0.304,42,5,67,0.486,2,10,33,0,0,3,이원재,29,0.346666667,0.832666667,2.0,0.01449
2018,62164,51,84,69,0.29,20,2,26,0.377,2,12,18,0,1,1,서상우,28,0.392857143,0.769857143,2.0,0.02899
2018,62234,128,280,228,0.268,61,1,71,0.311,2,29,43,0,10,3,류지혁,24,0.371747212,0.682747212,4.0,0.01754
2018,62244,89,194,170,0.282,48,3,69,0.406,1,16,55,0,4,0,박세혁,28,0.356020942,0.762020942,5.0,0.02941
2018,62265,31,58,48,0.271,13,3,26,0.542,2,8,14,0,0,3,유민상,29,0.362068966,0.904068966,3.0,0.0625
2018,62332,116,234,202,0.228,46,3,62,0.307,3,12,58,0,8,2,김재현,25,0.293333333,0.600333333,3.0,0.01485
2018,62353,16,17,16,0.063,1,1,4,0.25,0,0,4,0,1,0,박정음,29,0.117647059,0.367647059,1.0,0.0625
2018,62356,104,336,298,0.295,88,3,110,0.369,4,27,89,0,6,3,김규민,25,0.36119403,0.73019403,2.0,0.00671
2018,62404,116,529,478,0.333,159,20,255,0.533,2,43,110,2,5,4,구자욱,25,0.392045455,0.925045455,10.0,0.02092
2018,62409,54,82,73,0.233,17,0,23,0.315,0,8,28,0,0,0,박찬도,29,0.308641975,0.623641975,0.0,0.0
2018,62415,144,649,576,0.299,172,9,249,0.432,6,56,99,0,3,9,박해민,28,0.360374415,0.792374415,9.0,0.01562
2018,62537,44,79,73,0.192,14,1,23,0.315,0,5,21,0,0,1,윤수강,28,0.243589744,0.558589744,1.0,0.0137
2018,62556,139,479,425,0.294,125,11,188,0.442,5,33,95,2,11,12,신본기,29,0.356540084,0.798540084,6.0,0.01412
2018,62700,141,517,484,0.254,123,9,176,0.364,0,28,130,0,4,7,하주석,24,0.300387597,0.664387597,7.0,0.01446
2018,62797,73,236,209,0.254,53,2,68,0.325,1,22,32,2,4,8,양성우,29,0.334745763,0.659745763,2.0,0.00957
2018,62802,51,79,65,0.308,20,0,23,0.354,0,10,16,0,2,1,박승욱,25,0.415584416,0.769584416,0.0,0.0
2018,62864,125,365,310,0.245,76,6,109,0.352,2,39,63,0,3,8,김민식,29,0.333333333,0.685333333,2.0,0.00645
2018,62884,98,257,222,0.293,65,7,100,0.45,0,25,57,0,8,1,최항,24,0.384313725,0.834313725,5.0,0.02252
2018,62893,57,95,83,0.253,21,2,29,0.349,0,7,20,0,1,2,최정민,29,0.318681319,0.667681319,,
2018,62895,136,562,486,0.284,138,41,292,0.601,8,52,124,3,16,10,한동민,28,0.366548043,0.967548043,31.0,0.06379
2018,62907,115,460,411,0.324,133,5,180,0.438,4,32,51,3,10,4,박민우,25,0.382932166,0.820932166,2.0,0.00487
2018,62908,82,62,57,0.158,9,0,10,0.175,0,0,6,0,3,2,황윤호,24,0.2,0.375,0.0,0.0
2018,62921,10,23,22,0.273,6,1,11,0.5,0,1,5,0,0,1,박헌욱,25,0.304347826,0.804347826,1.0,0.04545
2018,62925,45,75,68,0.235,16,0,19,0.279,1,4,17,0,0,3,강진성,24,0.273972603,0.552972603,0.0,0.0
2018,62931,125,458,420,0.283,119,11,181,0.431,2,33,92,0,2,8,노진혁,28,0.336980306,0.767980306,6.0,0.01429
2018,62934,111,358,323,0.26,84,13,140,0.433,3,29,64,0,1,10,김성욱,25,0.320224719,0.753224719,7.0,0.02167
2018,62947,144,620,556,0.318,177,23,288,0.518,5,44,131,4,15,11,나성범,28,0.380645161,0.898645161,20.0,0.03597
2018,63088,19,23,21,0.143,3,0,4,0.19,0,2,3,0,0,0,김진곤,30,0.217391304,0.407391304,,
2018,63123,69,212,184,0.255,47,3,66,0.359,1,18,57,0,3,2,강승호,24,0.330097087,0.689097087,4.0,0.02174
2018,63257,46,109,95,0.263,25,1,35,0.368,1,12,26,0,0,0,김인태,24,0.342592593,0.710592593,2.0,0.02105
2018,63260,71,199,177,0.226,40,4,61,0.345,1,16,57,0,4,6,이우성,23,0.303030303,0.648030303,4.0,0.0226
2018,63450,65,132,117,0.265,31,2,44,0.376,0,9,28,0,0,3,정현,24,0.317460317,0.693460317,2.0,0.01709
2018,63559,23,34,27,0.222,6,1,11,0.407,1,5,11,0,1,1,백민기,27,0.352941176,0.759941176,1.0,0.03704
2018,63593,39,71,62,0.226,14,0,15,0.242,0,6,13,0,2,2,조홍석,28,0.314285714,0.556285714,,
2018,63704,135,588,515,0.313,161,8,222,0.431,3,48,86,0,13,3,노수광,27,0.383419689,0.814419689,2.0,0.00388
2018,63722,61,101,89,0.247,22,3,37,0.416,0,7,24,0,2,4,한승택,24,0.316326531,0.732326531,2.0,0.02247
2018,63905,11,23,23,0.217,5,0,6,0.261,0,0,9,0,0,0,윤대영,24,0.217391304,0.478391304,1.0,0.04348
2018,63963,104,391,343,0.283,97,8,142,0.414,4,35,58,2,4,5,권희동,27,0.352331606,0.766331606,6.0,0.01749
2018,64006,135,403,367,0.259,95,4,136,0.371,1,20,58,1,4,4,심우준,23,0.303571429,0.674571429,2.0,0.00545
2018,64012,47,29,27,0.148,4,0,4,0.148,0,1,8,0,0,1,송민섭,26,0.178571429,0.326571429,,
2018,64022,60,176,154,0.247,38,4,61,0.396,0,12,56,0,3,4,안중열,22,0.313609467,0.709609467,5.0,0.03247
2018,64086,16,27,24,0.167,4,1,7,0.292,1,2,9,0,0,1,신성현,27,0.222222222,0.514222222,2.0,0.08333
2018,64153,140,519,483,0.263,127,22,220,0.455,5,24,81,0,6,9,양석환,26,0.303088803,0.758088803,21.0,0.04348
2018,64266,9,19,16,0.188,3,0,3,0.188,0,3,7,0,0,1,이성곤,26,0.315789474,0.503789474,0.0,0.0
2018,64300,129,576,511,0.288,147,20,242,0.474,5,54,81,2,5,16,김하성,22,0.35826087,0.83226087,11.0,0.02153
2018,64346,134,447,423,0.293,124,13,198,0.468,2,22,119,1,0,6,임병욱,22,0.326621924,0.794621924,11.0,0.026
2018,64410,14,32,31,0.258,8,0,10,0.323,0,1,9,0,0,1,백승민,28,0.28125,0.60425,,
2018,64560,20,30,29,0.172,5,0,6,0.207,0,0,3,0,1,2,이창진,27,0.2,0.407,0.0,0.0
2018,64610,83,209,193,0.259,50,0,59,0.306,0,12,34,0,1,1,강한울,26,0.305825243,0.611825243,0.0,0.0
2018,64657,85,150,123,0.228,28,5,50,0.407,0,13,37,0,9,1,박준태,26,0.344827586,0.751827586,3.0,0.02439
2018,64717,99,224,207,0.275,57,7,85,0.411,1,12,55,0,2,6,지성준,24,0.31981982,0.73081982,7.0,0.03382
2018,64944,27,30,25,0.16,4,0,4,0.16,0,4,9,0,0,0,박광열,22,0.275862069,0.435862069,,
2018,64984,20,35,31,0.355,11,1,14,0.452,0,3,5,0,0,0,김태진,22,0.411764706,0.863764706,0.0,0.0
2018,65115,62,135,123,0.22,27,0,31,0.252,1,8,12,0,1,4,안익훈,22,0.270676692,0.522676692,,
2018,65136,26,53,47,0.17,8,1,13,0.277,1,3,17,0,0,2,박지규,26,0.215686275,0.492686275,1.0,0.02128
2018,65269,22,58,53,0.226,12,2,20,0.377,0,5,19,0,0,3,김민혁,22,0.293103448,0.670103448,,
2018,65357,78,238,211,0.313,66,7,106,0.502,1,24,49,0,0,2,송성문,21,0.381355932,0.883355932,5.0,0.0237
2018,65399,25,24,24,0.25,6,0,8,0.333,0,0,7,0,0,1,허정협,28,0.25,0.583,0.0,0.0
2018,65586,27,77,66,0.364,24,3,40,0.606,1,9,24,0,1,1,전병우,25,0.441558442,1.047558442,3.0,0.04545
2018,66108,12,25,18,0.167,3,0,5,0.278,0,7,8,0,0,0,홍창기,24,0.4,0.678,0.0,0.0
2018,66209,119,198,183,0.279,51,1,68,0.372,1,9,33,0,0,4,조수행,24,0.310880829,0.682880829,,
2018,66354,80,126,110,0.218,24,1,30,0.273,0,10,36,0,2,2,주효상,20,0.295081967,0.568081967,1.0,0.00909
2018,66462,110,212,185,0.243,45,0,60,0.324,2,16,23,0,6,2,김성훈,24,0.320574163,0.644574163,,
2018,66508,87,71,57,0.263,15,0,17,0.298,0,10,21,0,3,0,나경민,26,0.4,0.698,,
2018,66606,101,331,302,0.272,82,4,110,0.364,1,20,58,0,4,4,최원준,21,0.324159021,0.688159021,5.0,0.01656
2018,66615,35,85,75,0.307,23,1,31,0.413,1,7,12,0,1,2,류승현,21,0.369047619,0.782047619,2.0,0.02667
2018,66662,19,26,25,0.16,4,0,8,0.32,1,0,7,0,0,1,신범수,20,0.153846154,0.473846154,,
2018,66702,28,50,46,0.239,11,1,15,0.326,0,3,8,0,1,1,이동훈,21,0.3,0.626,,
2018,66704,24,30,26,0.192,5,0,6,0.231,0,3,8,0,0,0,김태연,21,0.275862069,0.506862069,,
2018,66706,50,48,42,0.214,9,0,15,0.357,0,4,11,0,2,0,장진혁,24,0.3125,0.6695,1.0,0.02381
2018,66838,124,446,421,0.252,106,27,202,0.48,3,17,108,0,4,13,김동엽,27,0.285393258,0.765393258,22.0,0.05226
2018,66917,63,160,142,0.232,33,1,41,0.289,1,8,28,0,8,1,김찬형,20,0.308176101,0.597176101,1.0,0.00704
2018,66965,26,42,35,0.229,8,1,11,0.314,0,5,5,0,2,0,도태훈,25,0.357142857,0.671142857,0.0,0.0
2018,66968,33,45,41,0.171,7,0,10,0.244,0,2,10,0,2,0,이재율,25,0.244444444,0.488444444,,
2018,67025,144,645,564,0.305,172,43,333,0.59,2,71,142,4,7,10,로하스,28,0.388198758,0.978198758,37.0,0.0656
2018,67207,28,24,22,0.273,6,0,7,0.318,0,1,6,0,1,1,이병휘,19,0.333333333,0.651333333,,
2018,67304,136,473,430,0.27,116,5,158,0.367,2,33,119,1,5,6,김혜성,19,0.327659574,0.694659574,2.0,0.00465
2018,67341,109,520,459,0.355,163,6,219,0.477,8,42,58,3,8,5,이정후,19,0.411992263,0.888992263,6.0,0.01307
2018,67394,96,397,349,0.258,90,17,160,0.458,5,33,79,2,10,4,초이스,28,0.335012594,0.793012594,15.0,0.04298
2018,67450,137,597,506,0.33,167,33,306,0.605,8,65,107,0,18,17,러프,31,0.418760469,1.023760469,22.0,0.04348
2018,67454,20,24,24,0.125,3,0,3,0.125,0,0,10,0,0,0,나원탁,23,0.125,0.25,,
2018,67539,106,203,177,0.124,22,2,31,0.175,0,12,85,0,5,2,나종덕,20,0.201030928,0.376030928,2.0,0.0113
2018,67598,133,505,462,0.268,124,23,237,0.513,0,33,133,2,9,8,번즈,27,0.329365079,0.842365079,15.0,0.03247
2018,67650,131,590,513,0.31,159,20,250,0.487,1,63,103,3,10,9,버나디나,34,0.395229983,0.882229983,24.0,0.04678
2018,67872,141,616,528,0.316,167,43,315,0.597,6,72,123,0,10,7,로맥,32,0.404220779,1.001220779,23.0,0.04356
2018,67893,42,59,52,0.135,7,0,8,0.154,0,7,16,0,0,0,박성한,20,0.237288136,0.391288136,1.0,0.01923
2018,67935,142,571,501,0.257,129,26,242,0.483,3,55,144,2,12,14,스크럭스,30,0.343257443,0.826257443,23.0,0.04591
2018,67944,20,25,22,0.182,4,0,4,0.182,0,3,10,0,0,1,신진호,26,0.28,0.462,,
2018,68050,138,585,527,0.29,153,29,276,0.524,3,52,124,0,3,4,강백호,18,0.355555556,0.879555556,24.0,0.04554
2018,68103,50,206,183,0.339,62,8,95,0.519,6,9,25,0,8,3,가르시아,33,0.383495146,0.902495146,6.0,0.03279
2018,68244,21,71,65,0.138,9,1,16,0.246,1,4,17,1,1,0,파레디스,29,0.197183099,0.443183099,2.0,0.03077
2018,68245,12,44,39,0.128,5,1,9,0.231,1,4,6,0,0,2,반슬라이크,31,0.204545455,0.435545455,1.0,0.02564
2018,68345,25,93,86,0.314,27,12,66,0.767,1,6,27,0,0,2,샌즈,30,0.35483871,1.12183871,13.0,0.15116
2018,68525,87,226,211,0.232,49,4,76,0.36,1,12,58,0,2,7,한동희,19,0.278761062,0.638761062,6.0,0.02844
2018,68730,142,590,529,0.306,162,30,303,0.573,5,51,93,10,5,5,호잉,29,0.369491525,0.942491525,23.0,0.04348
2018,68743,98,227,201,0.249,50,4,73,0.363,1,22,50,0,1,0,정은원,18,0.324444444,0.687444444,3.0,0.01493
2018,68912,60,89,81,0.16,13,0,14,0.173,0,7,32,0,1,3,김형준,18,0.235955056,0.408955056,0.0,0.0
2018,70410,121,471,429,0.34,146,18,223,0.52,10,23,57,5,7,15,김주찬,37,0.375266525,0.895266525,21.0,0.04895
2018,70553,98,196,173,0.214,37,1,46,0.266,3,13,50,0,2,8,박기혁,37,0.272251309,0.538251309,2.0,0.01156
2018,70756,101,380,332,0.28,93,20,160,0.482,2,42,59,4,4,12,이범호,36,0.365789474,0.847789474,18.0,0.05422
2018,71184,88,134,120,0.242,29,0,34,0.283,1,8,16,0,1,4,이성우,36,0.292307692,0.575307692,1.0,0.00833
2018,71432,114,392,342,0.284,97,10,143,0.418,1,43,91,2,0,9,박한이,39,0.362694301,0.780694301,12.0,0.03509
2018,71552,93,179,153,0.255,39,4,54,0.353,2,24,41,0,0,6,최준석,35,0.351955307,0.704955307,2.0,0.01307
2018,71564,144,604,543,0.333,181,37,322,0.593,4,43,75,7,14,18,이대호,36,0.394039735,0.987039735,26.0,0.04788
2018,71752,73,271,254,0.315,80,10,121,0.476,0,13,56,1,4,7,김태균,36,0.357933579,0.833933579,8.0,0.0315
2018,71837,80,267,235,0.298,70,14,126,0.536,0,22,57,0,5,1,김강민,35,0.370229008,0.906229008,10.0,0.04255
2018,71842,70,128,112,0.223,25,1,32,0.286,0,8,35,0,5,3,정상호,35,0.304,0.59,3.0,0.02679
2018,72133,134,583,524,0.303,159,15,244,0.466,7,47,107,0,5,21,박용택,39,0.361921098,0.827921098,22.0,0.04198
2018,72443,143,609,528,0.339,179,25,290,0.549,8,66,87,7,7,17,최형우,34,0.413793103,0.962793103,22.0,0.04167
2018,72456,98,297,265,0.238,63,4,85,0.321,4,11,40,0,7,11,손주인,34,0.282229965,0.603229965,1.0,0.00377
2018,72466,28,59,54,0.222,12,1,16,0.296,0,4,14,0,0,2,조동찬,34,0.275862069,0.571862069,,
2018,72546,122,349,316,0.275,87,6,126,0.399,6,18,45,0,0,9,문규현,35,0.308823529,0.707823529,6.0,0.01899
2018,73113,135,528,458,0.262,120,25,216,0.472,3,58,129,2,9,16,박경수,34,0.354166667,0.826166667,23.0,0.05022
2018,73136,131,528,485,0.295,143,34,268,0.553,2,35,143,3,5,9,이성열,33,0.347248577,0.900248577,29.0,0.05979
2018,73209,119,420,362,0.262,95,12,155,0.428,2,38,66,0,5,2,나주환,34,0.339066339,0.767066339,10.0,0.02762
2018,73213,67,150,128,0.188,24,2,34,0.266,1,15,20,0,5,3,손시헌,37,0.295302013,0.561302013,,
2018,73306,67,105,94,0.181,17,1,22,0.234,3,8,20,0,0,2,지석훈,34,0.238095238,0.472095238,0.0,0.0
2018,73339,43,128,122,0.23,28,1,38,0.311,1,4,16,0,0,2,이종욱,38,0.251968504,0.562968504,,
2018,73342,104,356,308,0.308,95,4,134,0.435,4,32,44,0,9,14,이택근,38,0.385269122,0.820269122,7.0,0.02273
2018,73606,32,56,49,0.204,10,0,13,0.265,1,5,15,0,1,1,서동욱,34,0.285714286,0.550714286,,
2018,74163,134,575,491,0.293,144,1,163,0.332,5,59,62,0,12,8,이용규,32,0.379188713,0.711188713,,
2018,74206,131,467,402,0.311,125,16,193,0.48,6,52,77,1,4,12,김재호,33,0.390086207,0.870086207,15.0,0.03731
2018,74215,132,509,460,0.276,127,19,206,0.448,3,40,69,2,4,17,윤석민,32,0.337278107,0.785278107,11.0,0.02391
2018,74339,121,480,428,0.339,145,20,228,0.533,1,47,53,3,2,9,유한준,37,0.405857741,0.938857741,14.0,0.03271
2018,74465,103,375,318,0.255,81,16,145,0.456,3,39,80,4,15,11,박석민,33,0.36,0.816,19.0,0.05975
2018,74540,129,477,427,0.269,115,22,195,0.457,7,29,96,5,14,11,강민호,32,0.331236897,0.788236897,14.0,0.03279
2018,74729,57,154,136,0.213,29,7,53,0.39,0,15,53,0,3,5,최진행,32,0.305194805,0.695194805,5.0,0.03676
2018,74823,54,88,83,0.229,19,2,28,0.337,0,3,15,0,0,3,임훈,32,0.255813953,0.592813953,4.0,0.04819
2018,74846,14,31,29,0.172,5,2,11,0.379,0,2,9,0,0,0,박정권,36,0.225806452,0.604806452,0.0,0.0
2018,75125,113,488,400,0.345,138,43,287,0.718,3,68,114,10,17,9,박병호,32,0.456967213,1.174967213,40.0,0.1
2018,75151,73,239,217,0.272,59,11,101,0.465,1,19,29,1,2,8,정의윤,31,0.334728033,0.799728033,11.0,0.05069
2018,75334,123,477,401,0.279,112,27,216,0.539,10,60,121,2,6,3,오재일,31,0.373165618,0.912165618,24.0,0.05985
2018,75566,128,543,479,0.301,144,20,236,0.493,5,52,103,1,7,10,이원석,31,0.373848987,0.866848987,17.0,0.03549
2018,75808,102,425,375,0.304,114,11,173,0.461,3,39,43,1,7,12,정근우,35,0.377358491,0.838358491,3.0,0.008
2018,75847,115,489,406,0.244,99,35,222,0.547,2,58,129,2,23,10,최정,31,0.36809816,0.91509816,23.0,0.05665
2018,76100,103,257,198,0.273,54,10,97,0.49,2,50,58,1,7,5,이병규,34,0.431906615,0.921906615,8.0,0.0404
2018,76158,27,79,72,0.25,18,4,33,0.458,0,6,25,0,1,3,최승준,30,0.316455696,0.774455696,3.0,0.04167
2018,76232,133,503,439,0.358,157,23,257,0.585,6,45,40,6,13,13,양의지,31,0.427435388,1.012435388,27.0,0.0615
2018,76249,118,494,443,0.318,141,17,213,0.481,6,35,68,3,8,10,민병헌,31,0.37398374,0.85498374,14.0,0.0316
2018,76267,138,590,519,0.333,173,26,302,0.582,10,51,89,1,10,5,최주환,30,0.396610169,0.978610169,25.0,0.04817
2018,76290,117,511,453,0.362,164,20,267,0.589,10,47,61,6,1,9,김현수,30,0.414872798,1.003872798,24.0,0.05298
2018,76313,142,588,530,0.296,157,25,279,0.526,3,49,120,1,4,5,황재균,30,0.358361775,0.884361775,20.0,0.03774
2018,76368,46,40,33,0.424,14,1,22,0.667,0,7,10,0,0,0,유재신,30,0.525,1.192,1.0,0.0303
2018,76509,46,115,100,0.25,25,2,38,0.38,0,13,27,1,0,2,김문호,31,0.336283186,0.716283186,0.0,0.0
2018,76720,103,219,190,0.179,34,4,55,0.289,3,15,62,0,4,4,정범모,31,0.25,0.539,3.0,0.01579
2018,76746,29,74,66,0.197,13,1,18,0.273,1,5,25,1,2,4,김태완,34,0.27027027,0.54327027,1.0,0.01515
2018,76753,113,460,434,0.297,129,18,207,0.477,4,18,93,0,4,13,송광민,35,0.32826087,0.80526087,13.0,0.02995
2018,76802,135,462,415,0.277,115,4,148,0.357,3,29,42,0,9,19,김성현,31,0.335526316,0.692526316,0.0,0.0
2018,76812,130,471,407,0.329,134,17,209,0.514,5,43,65,0,12,13,이재원,30,0.404710921,0.918710921,14.0,0.0344
2018,76849,120,502,447,0.302,135,4,187,0.418,1,40,64,3,3,5,이명기,30,0.362525458,0.780525458,4.0,0.00895
